,receptor,missing_frame
821,adrb2,at-frame70400
822,adrb2,at-frame70800
823,adrb2,at-frame72200
824,adrb2,at-frame73000
825,adrb2,at-frame74200
826,adrb2,at-frame75400
827,adrb2,at-frame76200
828,adrb2,at-frame77800
829,adrb2,at-frame78400
830,adrb2,at-frame79800
831,adrb2,at-frame80400
832,adrb2,at-frame82000
833,adrb2,at-frame82200
834,adrb2,at-frame82400
835,adrb2,at-frame83200
836,adrb2,at-frame83400
837,adrb2,at-frame83600
838,adrb2,at-frame83800
839,adrb2,at-frame85400
840,adrb2,at-frame85600
841,adrb2,at-frame86000
842,adrb2,at-frame87000
843,adrb2,at-frame87400
844,adrb2,at-frame90400
845,adrb2,at-frame90600
846,adrb2,at-frame91400
847,adrb2,at-frame91800
848,adrb2,at-frame92800
849,adrb2,at-frame93200
850,adrb2,at-frame95400
851,adrb2,at-frame96000
852,adrb2,at-frame97200
853,adrb2,at-frame97800
854,adrb2,at-frame98800
855,adrb2,at-frame99800
856,adrb2,at-frame101000
857,adrb2,at-frame103600
858,adrb2,at-frame104200
859,adrb2,at-frame104800
860,adrb2,at-frame107000
861,adrb2,at-frame107200
862,adrb2,at-frame108600
863,adrb2,at-frame108800
864,adrb2,at-frame109600
865,adrb2,at-frame109800
866,adrb2,at-frame114200
867,adrb2,at-frame116000
868,adrb2,at-frame116400
869,adrb2,at-frame116800
870,adrb2,at-frame117000
871,adrb2,at-frame118200
872,adrb2,at-frame120000
873,adrb2,at-frame121400
874,adrb2,at-frame122600
875,adrb2,at-frame123600
876,adrb2,at-frame124000
877,adrb2,at-frame124400
878,adrb2,at-frame124800
879,adrb2,at-frame125400
880,adrb2,at-frame126400
881,adrb2,at-frame128800
882,adrb2,at-frame132600
883,adrb2,at-frame132800
884,adrb2,at-frame135200
885,adrb2,at-frame136000
886,adrb2,at-frame136800
887,adrb2,at-frame137400
888,adrb2,at-frame138600
889,adrb2,at-frame139200
890,adrb2,at-frame140000
891,adrb2,at-frame140600
892,adrb2,at-frame141200
893,adrb2,at-frame141400
894,adrb2,at-frame141800
895,adrb2,at-frame142200
896,adrb2,at-frame142800
897,adrb2,at-frame143400
898,adrb2,at-frame145000
899,adrb2,at-frame145200
900,adrb2,at-frame145800
901,adrb2,at-frame147400
902,adrb2,at-frame147600
903,adrb2,at-frame148800
904,adrb2,at-frame149000
905,adrb2,at-frame152000
906,adrb2,at-frame153000
907,adrb2,at-frame153200
908,adrb2,at-frame153600
909,adrb2,at-frame153800
910,adrb2,at-frame155000
911,adrb2,at-frame155400
912,adrb2,at-frame157200
913,adrb2,at-frame157800
914,adrb2,at-frame158600
915,adrb2,at-frame159400
916,adrb2,at-frame161000
917,adrb2,at-frame161200
918,adrb2,at-frame161600
919,adrb2,at-frame162400
920,adrb2,at-frame163000
921,adrb2,at-frame163800
922,adrb2,at-frame164600
923,adrb2,at-frame165400
924,adrb2,at-frame166400
925,adrb2,at-frame166600
926,adrb2,at-frame166800
927,adrb2,at-frame167800
928,adrb2,at-frame168200
929,adrb2,at-frame169600
930,adrb2,at-frame170600
931,adrb2,at-frame173000
932,adrb2,at-frame173400
933,adrb2,at-frame174400
934,adrb2,at-frame174600
935,adrb2,at-frame176600
936,adrb2,at-frame180800
937,adrb2,at-frame182600
938,adrb2,at-frame183200
939,adrb2,at-frame184400
940,adrb2,at-frame185800
941,adrb2,at-frame186600
942,adrb2,at-frame188000
943,adrb2,at-frame188600
944,adrb2,at-frame189200
945,adrb2,at-frame190000
946,adrb2,at-frame190600
