,f_name,k,inds,frame_number
70,center of mass,32,[1416 2563 2258 ...  624 2129 1927],"[283000, 512400, 451400, 19000, 589200, 152600, 189400, 94600, 405600, 36600, 341600, 213200, 73800, 306800, 7600, 525400, 470600, 558000, 233000, 28800, 113600, 143800, 62200, 439800, 175000, 574400, 330600, 368600, 536800, 124600, 425600, 385200]"
71,center of mass,33,[2799 1386 2277 ... 2217  159 1439],"[559600, 277000, 455200, 62200, 175000, 19400, 124600, 574400, 213200, 405600, 536800, 330600, 425600, 230800, 92800, 341600, 36600, 7600, 143800, 368600, 512400, 589200, 244800, 80400, 385200, 156600, 189400, 113600, 476000, 306800, 443200, 31600, 287600]"
72,center of mass,34,[ 370 2029 2381 ... 1524   39 2685],"[73800, 405600, 476000, 189400, 146800, 28800, 317000, 341600, 589200, 241600, 36600, 525400, 277000, 113600, 208000, 19000, 385200, 425600, 163800, 330800, 222400, 512400, 62200, 455200, 559000, 368600, 94600, 443200, 574400, 124600, 233400, 304600, 7600, 536800]"
73,center of mass,35,[1654 2563  624 ...  312 1225 1969],"[330600, 512400, 124600, 189400, 425600, 113600, 589200, 13600, 80400, 230800, 277000, 341600, 36600, 536800, 382200, 213200, 175000, 558000, 451400, 574400, 24800, 470600, 306800, 143800, 92800, 31600, 368600, 439800, 525400, 2400, 156600, 405600, 62200, 244800, 393600]"
74,center of mass,36,[2628 1586  145 ... 1213 1524 2873],"[525400, 317000, 28800, 163800, 146800, 230800, 277000, 92800, 589200, 330800, 385200, 7600, 425600, 80400, 113600, 19000, 189400, 372000, 211400, 536800, 512400, 254600, 36600, 362800, 354200, 558000, 461800, 124600, 445000, 476000, 62200, 398800, 438000, 242400, 304600, 574400]"
75,center of mass,37,[2628 1535  403 ...  159  876 1995],"[525400, 306800, 80400, 216200, 14000, 143800, 385200, 589200, 277000, 189400, 36600, 341600, 113600, 429200, 512400, 455200, 232800, 154400, 24800, 476000, 92800, 330600, 558000, 536800, 414000, 157800, 368600, 3400, 574400, 124600, 244800, 62200, 201800, 444000, 31600, 175000, 398800]"
76,center of mass,38,[1225 2354  145 ...  876 1709 1586],"[244800, 470600, 28800, 124600, 189400, 385200, 325200, 589200, 536800, 362800, 425600, 92800, 213200, 7600, 143800, 36600, 287600, 497000, 156600, 230800, 113600, 62200, 574400, 398800, 451400, 19000, 73800, 522800, 304600, 439800, 486000, 277000, 559000, 372000, 336600, 175000, 341600, 317000]"
77,center of mass,39,[ 184 2791 2129 ... 1224 2258 1815],"[36600, 558000, 425600, 317000, 157200, 525400, 208000, 73800, 14000, 339800, 277000, 589200, 385200, 94600, 124600, 175000, 143800, 372000, 236000, 113600, 62200, 439800, 31600, 189400, 536800, 470600, 512400, 304600, 574400, 3400, 224600, 330800, 399000, 24800, 411600, 287600, 244600, 451400, 362800]"
78,C-alpha,1,[2003],[400400]
79,C-alpha,2,[2003  637],"[400400, 127200]"
80,C-alpha,3,[ 989 2003  175],"[197600, 400400, 34800]"
81,C-alpha,4,[2040  788  175 1666],"[407800, 157400, 34800, 333000]"
82,C-alpha,5,[ 144 1460 2409  543  988],"[28600, 291800, 481600, 108400, 197400]"
83,C-alpha,6,[ 988 2040 1666  625  305   42],"[197400, 407800, 333000, 124800, 60800, 8200]"
84,C-alpha,7,[ 625 2817   42 1749 1419  988  305],"[124800, 563200, 8200, 349600, 283600, 197400, 60800]"
85,C-alpha,8,[1761 1419 2627  988  625   42  305 2885],"[352000, 283600, 525200, 197400, 124800, 8200, 60800, 576800]"
86,C-alpha,9,[2063 1419  988 2817  625   27  179 1733  376],"[412400, 283600, 197400, 563200, 124800, 5200, 35600, 346400, 75000]"
87,C-alpha,10,[ 988 2111 1419 2885  625  179 1769   27  376 2597],"[197400, 422000, 283600, 576800, 124800, 35600, 353600, 5200, 75000, 519200]"
88,C-alpha,11,[2885 2111  625 ...   27  876  179],"[576800, 422000, 124800, 519200, 353600, 75000, 221800, 283600, 5200, 175000, 35600]"
89,C-alpha,12,[1525 2089  876 ...  376 1383 2885],"[304800, 417600, 175000, 5200, 35600, 342200, 219200, 124800, 519200, 75000, 276400, 576800]"
90,C-alpha,13,[1383 2889  876 ...  179 2273 1525],"[276400, 577600, 175000, 412400, 124800, 75000, 519200, 221800, 342200, 5200, 35600, 454400, 304800]"
91,C-alpha,14,[1110 2063  625 ... 1774 2273  266],"[221800, 412400, 124800, 577600, 75000, 304800, 5200, 519200, 175000, 22000, 276400, 354600, 454400, 53000]"
92,C-alpha,15,[2597 1525 1097 ... 2889  355  249],"[519200, 304800, 219200, 102200, 22000, 412400, 137200, 5200, 342200, 175000, 276400, 454400, 577600, 70800, 49600]"
93,C-alpha,16,[ 512 1383 2597 ... 1525  303  876],"[102200, 276400, 519200, 354600, 219200, 42200, 454400, 577600, 5200, 22000, 137200, 81600, 412400, 304800, 60400, 175000]"
94,C-alpha,17,[1525 2597 1383 ... 2273 2155  512],"[304800, 519200, 276400, 219200, 83200, 22000, 137200, 5200, 342200, 175000, 395000, 42200, 577600, 60400, 454400, 430800, 102200]"
95,C-alpha,18,[1383 2889  876 ... 2273 1618  212],"[276400, 577600, 175000, 5200, 395000, 102200, 60400, 354600, 305600, 137200, 219200, 22000, 519200, 430800, 83200, 454400, 323400, 42200]"
96,C-alpha,19,[ 876 2597 1774 ... 1976  409   86],"[175000, 519200, 354600, 276400, 137200, 60400, 4600, 428800, 446000, 102200, 221800, 583000, 28800, 304800, 40600, 465400, 395000, 81600, 17000]"
97,C-alpha,20,[1529 2328  876 ... 1618 1180 2231],"[305600, 465400, 175000, 276400, 395000, 137200, 42200, 22000, 81600, 519200, 5200, 354600, 212200, 60400, 102200, 583000, 428800, 323400, 235800, 446000]"
98,C-alpha,21,[1976 2276  876 ... 1529 2231 2913],"[395000, 455000, 175000, 60400, 102200, 5200, 212200, 354600, 276400, 571400, 83200, 137200, 42200, 519200, 22000, 323400, 235800, 428800, 305600, 446000, 582400]"
99,C-alpha,22,[1976 1618 1062 ... 2276 2231 1180],"[395000, 323400, 212200, 22000, 488200, 102200, 42200, 276400, 354600, 5200, 144600, 428800, 574200, 175000, 83200, 582400, 60400, 305600, 541400, 455000, 446000, 235800]"
100,C-alpha,23,[ 409 1180 2442 ... 1976  204  719],"[81600, 235800, 488200, 323400, 175000, 583000, 102200, 428800, 4600, 28800, 465400, 276400, 305600, 212200, 446000, 354600, 541400, 60400, 124200, 17000, 395000, 40600, 143600]"
101,C-alpha,24,[1774  622 1976 ... 2145 2872 2276],"[354600, 124200, 395000, 488200, 175000, 40600, 4600, 582400, 81600, 276400, 446000, 305600, 16600, 28800, 235800, 212200, 60400, 323400, 541400, 102200, 143600, 428800, 574200, 455000]"
102,C-alpha,25,[ 145 1774 1976 ...  409 2231 2797],"[28800, 354600, 395000, 175000, 4600, 574200, 137200, 276400, 88400, 212200, 428800, 513200, 323400, 60400, 40600, 107800, 235800, 305600, 16600, 531400, 455000, 589400, 81600, 446000, 559200]"
103,C-alpha,26,[1347 2797  876 ... 1976 2872 1209],"[269200, 559200, 175000, 4600, 124200, 40600, 428800, 354600, 81600, 455000, 17000, 212200, 488200, 305600, 589400, 102200, 60400, 227200, 28800, 323400, 531400, 446000, 143600, 395000, 574200, 241600]"
104,C-alpha,27,[1774 2567  512 ... 2658  622 1928],"[354600, 513200, 102200, 175000, 276400, 60400, 455000, 4600, 212200, 305600, 28800, 574200, 143600, 428800, 396600, 235800, 323400, 559200, 17000, 81600, 40600, 589400, 88400, 446000, 531400, 124200, 385400]"
105,C-alpha,28,[ 512 1529 1774 ...   81  443  772],"[102200, 305600, 354600, 395000, 31600, 9400, 175000, 276400, 589400, 60400, 455000, 212200, 531400, 139200, 235800, 323400, 81600, 446000, 574200, 40600, 428800, 559200, 513200, 3400, 124200, 16000, 88400, 154200]"
106,C-alpha,29,[1441 1774 1976 ...  622 2658 1634],"[288000, 354600, 395000, 16000, 227200, 455000, 52600, 102200, 143600, 175000, 3400, 589400, 298200, 446000, 312400, 62200, 212200, 40600, 81600, 574200, 428800, 241600, 9400, 559200, 31600, 513200, 124200, 531400, 326600]"
107,C-alpha,30,[1062 1976  719 ...  443  622 1441],"[212200, 395000, 143600, 16000, 241600, 455000, 81600, 574200, 369000, 305600, 175000, 531400, 40600, 3400, 446000, 52600, 102200, 227200, 323800, 355000, 62200, 31600, 589400, 559200, 428800, 9400, 513200, 88400, 124200, 288000]"
108,C-alpha,31,[2567 2276  496 ... 1846 1137 2368],"[513200, 455000, 99000, 241600, 175000, 31600, 355000, 428800, 144600, 3400, 212200, 323800, 40600, 531400, 559200, 288000, 575600, 107800, 9400, 589400, 385400, 396600, 81600, 16000, 60400, 446000, 305600, 191000, 369000, 227200, 473400]"
109,C-alpha,32,[1062 1984   81 ... 2231  956   18],"[212200, 396600, 16000, 324000, 455000, 88400, 589400, 40600, 175000, 337200, 9400, 124200, 428800, 81600, 288000, 531400, 31600, 513200, 559200, 305600, 227200, 385400, 143600, 60400, 241600, 102200, 369000, 355000, 574200, 446000, 191000, 3400]"
110,C-alpha,33,[1563 2797  622 ... 1209  443 1492],"[312400, 559200, 124200, 212200, 385400, 40600, 16000, 446000, 287400, 175000, 513200, 81600, 455000, 355000, 3400, 589400, 396600, 428800, 102200, 31600, 227200, 323400, 369000, 269200, 60400, 9400, 143600, 574200, 531400, 191000, 241600, 88400, 298200]"
111,C-alpha,34,[1347 2872  719 ... 1563  956 1438],"[269200, 574200, 143600, 531400, 175000, 40600, 428800, 224000, 4600, 88400, 369000, 81600, 16600, 298200, 212200, 323400, 455000, 582400, 513200, 52600, 385400, 241600, 446000, 559200, 102200, 234200, 355000, 28800, 396600, 62200, 124200, 312400, 191000, 287400]"
