,f_name,k,inds,frame_number
15,pairwise distance to 4 points,16,[2409  876 2661 ...  772 1928 2974],"[481600, 175000, 532000, 127000, 144400, 581800, 505400, 460800, 447600, 211000, 208600, 171200, 509600, 154200, 385400, 594600]"
16,pairwise distance to 4 points,17,[ 857 1354  723 ...   43 1954  636],"[171200, 270600, 144400, 447600, 581800, 460800, 208600, 22400, 505400, 427000, 154200, 8600, 481600, 509600, 8400, 390600, 127000]"
17,pairwise distance to 4 points,18,[ 836 2528 2995 ... 1088  772  326],"[167000, 505400, 598800, 8600, 381200, 460800, 161800, 427000, 144400, 308200, 493800, 168400, 520800, 506000, 449200, 217400, 154200, 65000]"
18,pairwise distance to 4 points,19,[2136  318 2528 ...  723 1673 2247],"[427000, 63400, 505400, 127000, 308200, 274200, 171200, 83000, 22400, 96600, 581800, 558200, 462000, 208600, 381200, 509600, 144400, 334400, 449200]"
19,pairwise distance to 4 points,20,[  43 1948  810 ... 1214 2247  484],"[8400, 389400, 161800, 8600, 460800, 464000, 361400, 308200, 397000, 177000, 167000, 506000, 144400, 83000, 381200, 571400, 223000, 242600, 449200, 96600]"
20,pairwise distance to 4 points,21,[ 636 2136 1044 ... 1354 2598 1615],"[127000, 427000, 208600, 255800, 144400, 572800, 22400, 96600, 83000, 120400, 586200, 481600, 197400, 505400, 175000, 594600, 174600, 509600, 270600, 519400, 322800]"
21,pairwise distance to 4 points,22,[ 636 2932   43 ...  857 1509 1214],"[127000, 586200, 8400, 385400, 455000, 223000, 505400, 83000, 144400, 481600, 161800, 460800, 22400, 509600, 370000, 8600, 381200, 532000, 96600, 171200, 301600, 242600]"
22,pairwise distance to 4 points,23,[2299  484 1808 ...  416 1928 2995],"[459600, 96600, 361400, 161800, 483000, 246600, 481600, 177000, 167000, 369400, 242600, 207200, 557400, 223000, 144400, 449200, 506000, 8400, 409200, 270600, 83000, 385400, 598800]"
23,pairwise distance to 4 points,24,[2470 1116 1502 ... 1928  523 1354],"[493800, 223000, 300200, 407800, 108800, 464000, 161800, 22400, 416800, 162000, 462000, 8600, 370000, 63400, 505400, 168400, 144400, 581800, 589400, 266400, 171200, 385400, 104400, 270600]"
24,pairwise distance to 4 points,25,[2409 1037 1960 ... 2910  416 1948],"[481600, 207200, 391800, 505400, 127000, 462000, 22400, 164800, 430800, 47200, 275400, 308200, 370000, 154200, 210600, 144400, 598600, 171200, 94600, 589400, 492600, 562000, 581800, 83000, 389400]"
25,pairwise distance to 4 points,26,[1229   44 1954 ... 1542 2926 1851],"[245600, 8600, 390600, 161800, 49800, 462000, 266400, 35400, 174600, 427000, 96600, 167400, 381200, 509600, 246600, 144400, 47000, 223000, 596600, 275400, 412600, 457000, 162000, 308200, 585000, 370000]"
26,pairwise distance to 4 points,27,[ 723 1542  129 ...  917   44  113],"[144400, 308200, 25600, 370000, 83000, 562000, 18600, 96600, 223000, 589400, 334400, 407800, 391800, 505400, 278800, 266400, 464000, 127000, 174600, 476600, 120400, 485600, 581800, 545800, 183200, 8600, 22400]"
27,pairwise distance to 4 points,28,[2549  416 2040 ...  484 2085 1671],"[509600, 83000, 407800, 547400, 505400, 161800, 144400, 171200, 207200, 272000, 433000, 563800, 120400, 305800, 581800, 22400, 293000, 223000, 397000, 485600, 25600, 370000, 266400, 8600, 17600, 96600, 416800, 334000]"
28,pairwise distance to 4 points,29,[2995  876 1233 ... 2645 2429  545],"[598800, 175000, 246400, 433000, 171200, 242600, 96600, 370000, 208600, 22400, 270600, 105600, 267600, 221800, 409200, 363400, 272600, 179200, 566200, 63400, 127000, 266400, 449200, 505400, 573600, 144400, 528800, 485600, 108800]"
29,pairwise distance to 4 points,30,[ 250 2321 2994 ...   44 2409 2311],"[49800, 464000, 598600, 416800, 373600, 581800, 208600, 270600, 589400, 105600, 144400, 390800, 127000, 171200, 63400, 164800, 361400, 246600, 562000, 449200, 3200, 83000, 104400, 433000, 334400, 547400, 108800, 8600, 481600, 462000]"
