,f_name,k,inds,frame_number
62,center of mass,24,[2488  234 2239 ...  875 2789 1604],"[497400, 46600, 447600, 180800, 386800, 469800, 126000, 577400, 96800, 374800, 229000, 300200, 275800, 546800, 405400, 27000, 339200, 217200, 61400, 434800, 141800, 174800, 557600, 320600]"
63,center of mass,25,[1146 2789  485 ... 1372  136 1604],"[229000, 557600, 96800, 244800, 180800, 469800, 46400, 497400, 300200, 374800, 141800, 583200, 447600, 405400, 174800, 217200, 339200, 55400, 386800, 434800, 575000, 546800, 274200, 27000, 320600]"
64,center of mass,26,[1087 2735  418 ... 2876  308 2488],"[217200, 546800, 83400, 339200, 391200, 320600, 274200, 174800, 46600, 434800, 583200, 469800, 180800, 300200, 557600, 111800, 27000, 374800, 244800, 141800, 447600, 231400, 203600, 575000, 61400, 497400]"
65,center of mass,27,[2488  318 1697 ... 1019 1604 1485],"[497400, 63400, 339200, 275800, 300400, 229000, 174800, 447600, 575000, 27000, 61400, 217200, 180800, 469800, 126000, 391200, 46600, 141800, 583200, 83400, 546800, 374800, 434800, 557600, 203600, 320600, 296800]"
66,center of mass,28,[1158  631 2789 ... 1875  567 2578],"[231400, 126000, 557600, 339200, 583200, 61400, 244800, 203600, 434800, 546800, 320600, 447600, 141800, 180800, 300200, 575000, 274200, 469800, 27000, 391200, 85200, 174800, 507600, 217200, 46600, 374800, 113200, 515400]"
67,center of mass,29,[1502 1019  418 ... 2830 2254 2488],"[300200, 203600, 83400, 244800, 470200, 422400, 583200, 374800, 141800, 546800, 173200, 3800, 339200, 557600, 217200, 61400, 180800, 438000, 320600, 391200, 27000, 274200, 231400, 157800, 111800, 447600, 565800, 450600, 497400]"
68,center of mass,30,[ 875  615 1697 ... 2125 1225  278],"[174800, 122800, 339200, 422400, 565800, 231400, 46600, 274200, 300200, 497400, 583200, 557600, 27000, 469800, 141800, 546800, 386800, 334800, 374800, 203600, 180800, 83400, 398600, 445000, 217200, 15000, 320600, 424800, 244800, 55400]"
69,center of mass,31,[2249  763 2876 ... 2735 1112   41],"[449600, 152400, 575000, 244800, 27000, 434800, 234200, 320600, 497400, 374800, 98000, 386800, 174800, 470200, 211600, 339200, 46600, 180800, 583200, 557600, 141800, 485800, 80000, 112800, 443200, 405400, 274200, 300200, 546800, 222200, 8000]"
70,center of mass,32,[ 136 1675 1994 ... 2735  875 1502],"[27000, 334800, 398600, 434800, 111800, 180800, 339200, 274200, 583200, 497400, 203600, 231400, 8000, 470200, 97000, 449600, 141800, 557600, 244800, 575000, 320600, 80000, 152400, 217200, 386800, 46600, 441800, 374800, 471200, 546800, 174800, 300200]"
71,center of mass,33,[ 418 2735 1994 ... 1019   76 1875],"[83400, 546800, 398600, 126000, 320600, 575000, 46600, 230600, 217200, 242400, 141200, 300200, 80000, 286000, 174800, 443200, 583200, 58200, 470200, 434800, 339200, 113200, 180800, 497400, 557600, 128200, 386800, 449600, 27000, 274200, 203600, 15000, 374800]"
72,center of mass,34,[2917 2113  398 ... 1158 2630  905],"[583200, 422400, 79400, 203600, 68600, 320600, 141800, 449600, 515400, 174800, 391200, 217200, 244800, 374800, 559400, 2000, 89600, 274200, 424800, 126000, 546800, 27000, 8000, 443200, 575000, 300200, 113200, 58200, 507600, 339200, 470200, 231400, 525800, 180800]"
73,center of mass,35,[2352 1172 2113 ... 2226  560  418],"[470200, 234200, 422400, 174800, 374800, 575000, 43800, 398600, 75000, 141800, 274200, 300200, 546800, 222200, 320600, 339200, 497400, 89600, 583200, 386800, 439200, 27000, 203600, 557600, 244800, 180800, 152400, 450600, 46600, 50600, 522000, 209400, 445000, 111800, 83400]"
74,center of mass,36,[2352  376 1372 ... 2735 2249 1172],"[470200, 75000, 274200, 174800, 180800, 583200, 497200, 374800, 422400, 386800, 300200, 229800, 2000, 126000, 443200, 320600, 339200, 398600, 106000, 27000, 222600, 557600, 424800, 244800, 43000, 507800, 141800, 83400, 211600, 203600, 50600, 565800, 112800, 546800, 449600, 234200]"
75,center of mass,37,[1372  867  257 ...  234  534 2352],"[274200, 173200, 51200, 449600, 522000, 232000, 354200, 434800, 565800, 133600, 497400, 83400, 320600, 398600, 203600, 27000, 374800, 244800, 443200, 211600, 112800, 386800, 546800, 335400, 557600, 222200, 300400, 180800, 583200, 43800, 126000, 296800, 139800, 157200, 46600, 106600, 470200]"
76,center of mass,38,[1359 1604  567 ... 2217 2798 1112],"[271600, 320600, 113200, 203600, 525800, 575000, 497400, 46600, 232000, 437400, 374800, 27000, 85200, 335400, 146800, 405400, 300200, 583200, 180800, 211600, 386800, 546800, 449600, 470200, 354200, 128200, 89600, 15000, 422400, 58200, 140400, 289800, 126000, 174800, 250400, 443200, 559400, 222200]"
77,center of mass,39,[1450 1019 2352 ... 1225 1112  136],"[289800, 203600, 470200, 126000, 85200, 386800, 507800, 209400, 565800, 328600, 46600, 515400, 583200, 434800, 139800, 354200, 32200, 180800, 300200, 546800, 370200, 232200, 345800, 238400, 174800, 405400, 441800, 113200, 484200, 320600, 8000, 557600, 449600, 133600, 58200, 271600, 244800, 222200, 27000]"
78,C-alpha,1,[2094],[418600]
79,C-alpha,2,[ 327 2094],"[65200, 418600]"
80,C-alpha,3,[ 327 1678 2056],"[65200, 335400, 411000]"
81,C-alpha,4,[2056  932  321 1678],"[411000, 186200, 64000, 335400]"
82,C-alpha,5,[1683  321  932 1381 2808],"[336400, 64000, 186200, 276000, 561400]"
83,C-alpha,6,[ 932 2629 1381  321 1753 1627],"[186200, 525600, 276000, 64000, 350400, 325200]"
84,C-alpha,7,[1684 2613  321 2900 1559 1364  932],"[336600, 522400, 64000, 579800, 311600, 272600, 186200]"
85,C-alpha,8,[2508  321 1559 1233 2900  830 1684 1087],"[501400, 64000, 311600, 246400, 579800, 165800, 336600, 217200]"
86,C-alpha,9,[1753 1381  485 2900 1559   76 1087 2629  814],"[350400, 276000, 96800, 579800, 311600, 15000, 217200, 525600, 162600]"
87,C-alpha,10,[2098  485 1684  814 2629 1233 2900 1087 1559   76],"[419400, 96800, 336600, 162600, 525600, 246400, 579800, 217200, 311600, 15000]"
88,C-alpha,11,[1559  485 2629 ... 1800   76 2098],"[311600, 96800, 525600, 162600, 246400, 217200, 579800, 450600, 359800, 15000, 419400]"
89,C-alpha,12,[2900  485 1233 ...  705 2629 2098],"[579800, 96800, 246400, 183400, 15000, 217200, 311600, 450600, 359800, 140800, 525600, 419400]"
90,C-alpha,13,[ 705  485 2098 ...   76 1233 2224],"[140800, 96800, 419400, 478200, 525600, 311600, 217200, 359800, 183400, 579800, 15000, 246400, 444600]"
91,C-alpha,14,[1800   76 2693 ... 2392  485  705],"[359800, 15000, 538400, 217200, 183400, 246400, 444600, 579800, 512400, 419400, 311600, 478200, 96800, 140800]"
92,C-alpha,15,[2693 1087  485 ... 1233  705 2563],"[538400, 217200, 96800, 311600, 418000, 444600, 579800, 183400, 478200, 359800, 421800, 15000, 246400, 140800, 512400]"
93,C-alpha,16,[2563  487  705 ...  305 1131 2693],"[512400, 97200, 140800, 311600, 199600, 359800, 246400, 478200, 579800, 444600, 17200, 419400, 183400, 60800, 226000, 538400]"
94,C-alpha,17,[1233 1800   39 ...  485  999 2900],"[246400, 359800, 7600, 512400, 183400, 226000, 300400, 538400, 323200, 419400, 478200, 444600, 140800, 27000, 96800, 199600, 579800]"
95,C-alpha,18,[2563   39 1233 ...  136 2091  918],"[512400, 7600, 246400, 140800, 444600, 478200, 199600, 538400, 359800, 96800, 311600, 226000, 598600, 567600, 421800, 27000, 418000, 183400]"
96,C-alpha,19,[2563   49 1233 ... 1503  999  487],"[512400, 9600, 246400, 183400, 478200, 418000, 140800, 27000, 421800, 323200, 226000, 538400, 579800, 359800, 444600, 5600, 300400, 199600, 97200]"
97,C-alpha,20,[2392 1131   49 ... 1250 2110  487],"[478200, 226000, 9600, 538400, 272200, 183400, 579800, 323200, 512400, 418000, 5600, 444600, 140800, 300400, 359800, 27000, 199600, 249800, 421800, 97200]"
98,C-alpha,21,[1233 2801   29 ...  736 1503  136],"[246400, 560000, 5600, 199600, 478200, 421800, 226000, 70600, 97800, 125600, 359800, 418000, 512400, 323200, 579800, 444600, 541600, 183400, 147000, 300400, 27000]"
99,C-alpha,22,[1617 2091   29 ...  136 2224  999],"[323200, 418000, 5600, 183400, 541600, 97200, 478200, 226000, 246400, 370200, 567600, 421800, 140800, 560000, 354800, 512400, 9600, 300400, 598600, 27000, 444600, 199600]"
100,C-alpha,23,[1617  354 2563 ...  629  594 1775],"[323200, 70600, 512400, 226000, 183400, 418000, 199600, 370200, 579800, 478200, 100400, 444600, 300400, 145000, 538400, 3400, 421800, 249800, 272200, 27000, 125600, 118600, 354800]"
101,C-alpha,24,[1131 2801 1800 ... 2709   25  398],"[226000, 560000, 359800, 183400, 12000, 418000, 126200, 478200, 598600, 512400, 300400, 249800, 147000, 444600, 323200, 109400, 199600, 27000, 421800, 272200, 567600, 541600, 4800, 79400]"
102,C-alpha,25,[ 629 1617 2091 ... 2709 1775  136],"[125600, 323200, 418000, 567600, 226000, 183400, 70600, 512400, 272200, 441800, 469400, 370200, 5600, 147000, 450200, 560000, 421800, 97800, 300400, 249800, 598600, 199600, 541600, 354800, 27000]"
103,C-alpha,26,[1250 2709  490 ... 2110 2801  136],"[249800, 541600, 97800, 354800, 386400, 126200, 183400, 598600, 226000, 444600, 70600, 323200, 478200, 499400, 272200, 567600, 4800, 199600, 300400, 412600, 147000, 510200, 370200, 421800, 560000, 27000]"
