,f_name,k,inds,frame_number
55,center of mass,17,[2365 1438  503 ... 2581  875  677],"[472800, 287400, 100400, 416000, 548800, 352400, 268400, 494400, 22400, 576800, 190800, 316800, 370400, 452200, 516000, 174800, 135200]"
56,center of mass,18,[2063 2365 1585 ...  955 1875  113],"[412400, 472800, 316800, 516000, 548800, 268400, 346600, 135200, 291400, 576800, 174800, 100400, 494400, 454800, 350400, 190800, 374800, 22400]"
57,center of mass,19,[2473 1734 2365 ...  497 1458 2063],"[494400, 346600, 472800, 571400, 268400, 135200, 316800, 454800, 201600, 90800, 536000, 22400, 374800, 350400, 513400, 174800, 99200, 291400, 412400]"
58,center of mass,20,[1123  677 1734 ... 1406 2858 1585],"[224400, 135200, 346600, 99200, 536000, 269600, 524200, 70600, 159000, 350400, 22400, 494400, 452200, 374800, 513400, 412400, 181600, 281000, 571400, 316800]"
59,center of mass,21,[1090 2681 2568 ... 2858 1585  511],"[217800, 536000, 513400, 412400, 103800, 268400, 135200, 346600, 156200, 48600, 92200, 22400, 494600, 184400, 350400, 452200, 374800, 275400, 571400, 316800, 102000]"
60,center of mass,22,[2372 1585 2277 ...  553 1632  837],"[474200, 316800, 455200, 346600, 513400, 536000, 341600, 281000, 22400, 217800, 566000, 494400, 374800, 268400, 392200, 477200, 135200, 444000, 97600, 110400, 326200, 167200]"
61,center of mass,23,[2559 1734  495 ... 1998 2976 2831],"[511600, 346600, 98800, 181600, 281000, 536000, 420400, 135200, 571400, 316800, 22400, 581800, 476400, 438000, 224400, 156200, 374800, 269600, 359400, 474200, 399400, 595000, 566000]"
62,center of mass,24,[ 134 2049 1123 ... 1462  717 2681],"[26600, 409600, 224400, 58600, 531600, 412400, 506800, 374800, 350400, 316800, 184400, 569400, 269600, 10600, 133800, 494600, 346600, 43000, 526600, 8800, 167200, 292200, 143200, 536000]"
63,center of mass,25,[2651 1442 1956 ... 2853 2302 1100],"[530000, 288200, 391000, 64200, 192000, 347000, 464000, 536000, 516200, 43200, 228000, 269600, 438000, 317400, 160800, 20600, 374800, 494600, 53000, 143200, 359400, 524200, 570400, 460200, 219800]"
64,center of mass,26,[1349 2638 2302 ...  670 2372 1406],"[269600, 527400, 460200, 224400, 374800, 584800, 60000, 22800, 350400, 316800, 153400, 536000, 81200, 380400, 444000, 192000, 174000, 595000, 529600, 35000, 513400, 392200, 120000, 133800, 474200, 281000]"
65,center of mass,27,[2307 1343  495 ...  445  654 2179],"[461200, 268400, 98800, 521200, 192000, 530000, 359400, 153400, 22400, 536000, 300400, 392600, 491000, 347000, 116200, 374800, 474200, 174000, 494600, 295000, 276400, 403600, 229600, 53200, 88800, 130600, 435600]"
66,center of mass,28,[2651 1588 2009 ... 1100  792  294],"[530000, 317400, 401600, 569400, 359400, 192000, 34400, 105200, 507800, 379600, 169800, 536000, 269600, 135200, 435600, 526600, 387800, 494600, 288200, 374800, 226800, 448600, 22800, 72200, 44400, 219800, 158200, 58600]"
67,center of mass,29,[ 217 1106 2976 ...   41 2910 1138],"[43200, 221000, 595000, 445400, 571400, 269600, 463800, 184400, 359400, 536000, 317400, 513400, 167200, 143200, 20600, 374800, 386000, 273000, 106600, 451600, 477200, 284200, 426400, 379600, 566000, 395000, 8000, 581800, 227400]"
