traj_ind,file_name,file_index
537,at-frame112000_noH.pdb,112000
538,at-frame112200_noH.pdb,112200
539,at-frame112400_noH.pdb,112400
540,at-frame112600_noH.pdb,112600
541,at-frame112800_noH.pdb,112800
542,at-frame113000_noH.pdb,113000
543,at-frame113200_noH.pdb,113200
544,at-frame113400_noH.pdb,113400
545,at-frame113600_noH.pdb,113600
546,at-frame113800_noH.pdb,113800
547,at-frame114000_noH.pdb,114000
548,at-frame114200_noH.pdb,114200
549,at-frame114400_noH.pdb,114400
550,at-frame114600_noH.pdb,114600
551,at-frame114800_noH.pdb,114800
552,at-frame115000_noH.pdb,115000
553,at-frame115200_noH.pdb,115200
554,at-frame115400_noH.pdb,115400
555,at-frame115600_noH.pdb,115600
556,at-frame115800_noH.pdb,115800
557,at-frame116000_noH.pdb,116000
558,at-frame116200_noH.pdb,116200
559,at-frame116400_noH.pdb,116400
560,at-frame116600_noH.pdb,116600
561,at-frame116800_noH.pdb,116800
562,at-frame117000_noH.pdb,117000
563,at-frame117200_noH.pdb,117200
564,at-frame117400_noH.pdb,117400
565,at-frame117600_noH.pdb,117600
566,at-frame117800_noH.pdb,117800
567,at-frame118000_noH.pdb,118000
568,at-frame118200_noH.pdb,118200
569,at-frame118400_noH.pdb,118400
570,at-frame118600_noH.pdb,118600
571,at-frame118800_noH.pdb,118800
572,at-frame119000_noH.pdb,119000
573,at-frame119200_noH.pdb,119200
574,at-frame119400_noH.pdb,119400
575,at-frame119600_noH.pdb,119600
576,at-frame119800_noH.pdb,119800
577,at-frame120000_noH.pdb,120000
578,at-frame120200_noH.pdb,120200
579,at-frame120400_noH.pdb,120400
580,at-frame120600_noH.pdb,120600
581,at-frame120800_noH.pdb,120800
582,at-frame121000_noH.pdb,121000
583,at-frame121200_noH.pdb,121200
584,at-frame121400_noH.pdb,121400
585,at-frame121600_noH.pdb,121600
586,at-frame121800_noH.pdb,121800
587,at-frame122000_noH.pdb,122000
588,at-frame122200_noH.pdb,122200
589,at-frame122400_noH.pdb,122400
590,at-frame122600_noH.pdb,122600
591,at-frame122800_noH.pdb,122800
592,at-frame123000_noH.pdb,123000
593,at-frame123200_noH.pdb,123200
594,at-frame123400_noH.pdb,123400
595,at-frame123600_noH.pdb,123600
596,at-frame123800_noH.pdb,123800
597,at-frame124000_noH.pdb,124000
598,at-frame124200_noH.pdb,124200
599,at-frame124400_noH.pdb,124400
600,at-frame124600_noH.pdb,124600
601,at-frame124800_noH.pdb,124800
602,at-frame125000_noH.pdb,125000
603,at-frame125200_noH.pdb,125200
604,at-frame125400_noH.pdb,125400
605,at-frame125600_noH.pdb,125600
606,at-frame125800_noH.pdb,125800
607,at-frame126000_noH.pdb,126000
608,at-frame126200_noH.pdb,126200
609,at-frame126400_noH.pdb,126400
610,at-frame126600_noH.pdb,126600
611,at-frame126800_noH.pdb,126800
612,at-frame127000_noH.pdb,127000
613,at-frame127200_noH.pdb,127200
614,at-frame127400_noH.pdb,127400
615,at-frame127600_noH.pdb,127600
616,at-frame127800_noH.pdb,127800
617,at-frame128000_noH.pdb,128000
618,at-frame128200_noH.pdb,128200
619,at-frame128400_noH.pdb,128400
620,at-frame128600_noH.pdb,128600
621,at-frame129000_noH.pdb,129000
622,at-frame129400_noH.pdb,129400
623,at-frame129600_noH.pdb,129600
624,at-frame130000_noH.pdb,130000
625,at-frame130200_noH.pdb,130200
626,at-frame130400_noH.pdb,130400
627,at-frame130600_noH.pdb,130600
628,at-frame130800_noH.pdb,130800
629,at-frame131000_noH.pdb,131000
630,at-frame131200_noH.pdb,131200
631,at-frame131400_noH.pdb,131400
632,at-frame131600_noH.pdb,131600
633,at-frame131800_noH.pdb,131800
634,at-frame132000_noH.pdb,132000
635,at-frame132200_noH.pdb,132200
636,at-frame132400_noH.pdb,132400
637,at-frame132600_noH.pdb,132600
638,at-frame132800_noH.pdb,132800
639,at-frame133000_noH.pdb,133000
640,at-frame133200_noH.pdb,133200
641,at-frame133400_noH.pdb,133400
642,at-frame133600_noH.pdb,133600
643,at-frame133800_noH.pdb,133800
644,at-frame134000_noH.pdb,134000
